Tab ID,ClientID,Type,Mouse X,Mouse Y,TimeStamp
4906875,4906875,movement,1387,133,1709133508547
4906875,4906875,movement,1326,164,1709133508562
4906875,4906875,movement,1267,192,1709133508580
4906875,4906875,movement,1210,219,1709133508596
4906875,4906875,movement,1137,253,1709133508616
4906875,4906875,movement,1108,270,1709133508633
4906875,4906875,movement,1091,281,1709133508646
4906875,4906875,movement,1077,290,1709133508667
4906875,4906875,movement,1074,291,1709133508679
4906875,4906875,movement,1074,291,1709133508695
4906875,4906875,movement,1069,291,1709133509086
4906875,4906875,movement,1060,293,1709133509097
4906875,4906875,movement,1048,294,1709133509101
4906875,4906875,movement,1035,298,1709133509112
4906875,4906875,movement,1001,308,1709133509131
4906875,4906875,movement,979,318,1709133509145
4906875,4906875,movement,958,331,1709133509165
4906875,4906875,movement,930,354,1709133509182
4906875,4906875,movement,914,370,1709133509198
4906875,4906875,movement,892,398,1709133509216
4906875,4906875,movement,881,419,1709133509235
4906875,4906875,movement,872,434,1709133509251
Tab ID,ClientID,Type,Mouse X,Mouse Y,TimeStamp
4906875,4906875,movement,862,448,1709133509265
4906875,4906875,movement,860,452,1709133509278
4906875,4906875,movement,859,453,1709133509299
4906875,4906875,movement,858,454,1709133509312
4906875,4906875,movement,859,454,1709133509328
4906875,4906875,movement,862,453,1709133509345
4906875,4906875,movement,878,454,1709133509362
4906875,4906875,movement,899,453,1709133509379
4906875,4906875,movement,971,435,1709133509398
4906875,4906875,movement,1000,425,1709133509412
4906875,4906875,movement,1023,416,1709133509432
4906875,4906875,movement,1045,407,1709133509449
4906875,4906875,movement,1052,400,1709133509464
4906875,4906875,movement,1056,395,1709133509478
4906875,4906875,movement,1059,387,1709133509495
4906875,4906875,movement,1056,376,1709133509514
4906875,4906875,movement,1036,356,1709133509531
4906875,4906875,movement,996,340,1709133509547
4906875,4906875,movement,939,332,1709133509566
4906875,4906875,movement,858,338,1709133509582
4906875,4906875,movement,792,361,1709133509598
4906875,4906875,movement,728,394,1709133509617
4906875,4906875,movement,658,450,1709133509632
4906875,4906875,movement,632,481,1709133509650
4906875,4906875,movement,618,505,1709133509667
4906875,4906875,movement,612,526,1709133509682
4906875,4906875,movement,612,542,1709133509701
4906875,4906875,movement,619,571,1709133509712
4906875,4906875,movement,630,587,1709133509734
4906875,4906875,movement,646,600,1709133509745
4906875,4906875,movement,693,613,1709133509766
4906875,4906875,movement,732,614,1709133509779
4906875,4906875,movement,762,614,1709133509796
4906875,4906875,movement,793,607,1709133509816
4906875,4906875,movement,814,596,1709133509831
4906875,4906875,movement,834,579,1709133509848
4906875,4906875,movement,857,547,1709133509865
4906875,4906875,movement,868,522,1709133509882
4906875,4906875,movement,876,485,1709133509899
4906875,4906875,movement,884,436,1709133509918
4906875,4906875,movement,884,416,1709133509933
4906875,4906875,movement,877,403,1709133509951
4906875,4906875,movement,855,385,1709133509964
4906875,4906875,movement,827,374,1709133509981
4906875,4906875,movement,782,366,1709133509998
4906875,4906875,movement,726,365,1709133510012
4906875,4906875,movement,692,376,1709133510033
4906875,4906875,movement,652,399,1709133510047
4906875,4906875,movement,604,443,1709133510066
4906875,4906875,movement,584,466,1709133510083
4906875,4906875,movement,572,478,1709133510096
4906875,4906875,movement,568,484,1709133510116
4906875,4906875,movement,566,492,1709133510129
4906875,4906875,movement,566,504,1709133510149
4906875,4906875,movement,569,520,1709133510162
4906875,4906875,movement,574,534,1709133510183
4906875,4906875,movement,586,548,1709133510198
4906875,4906875,movement,600,553,1709133510213
4906875,4906875,movement,623,554,1709133510229
4906875,4906875,movement,673,549,1709133510246
4906875,4906875,movement,692,546,1709133510262
4906875,4906875,movement,701,544,1709133510279
4906875,4906875,movement,711,540,1709133510297
4906875,4906875,movement,715,536,1709133510313
4906875,4906875,movement,722,529,1709133510331
4906875,4906875,movement,736,511,1709133510347
4906875,4906875,movement,746,497,1709133510366
4906875,4906875,movement,755,486,1709133510382
4906875,4906875,movement,759,482,1709133510397
4906875,4906875,movement,762,478,1709133510412
4906875,4906875,movement,764,473,1709133510429
4906875,4906875,movement,768,466,1709133510446
4906875,4906875,movement,773,448,1709133510465
4906875,4906875,movement,773,431,1709133510481
4906875,4906875,movement,766,413,1709133510498
4906875,4906875,movement,736,394,1709133510516
4906875,4906875,movement,691,386,1709133510531
4906875,4906875,movement,653,382,1709133510548
4906875,4906875,movement,614,386,1709133510564
4906875,4906875,movement,588,403,1709133510581
4906875,4906875,movement,555,438,1709133510599
4906875,4906875,movement,516,494,1709133510615
4906875,4906875,movement,506,513,1709133510632
4906875,4906875,movement,502,525,1709133510649
4906875,4906875,movement,503,534,1709133510666
4906875,4906875,movement,515,549,1709133510681
4906875,4906875,movement,534,563,1709133510699
4906875,4906875,movement,569,581,1709133510716
4906875,4906875,movement,629,594,1709133510731
4906875,4906875,movement,656,594,1709133510746
4906875,4906875,movement,675,591,1709133510762
4906875,4906875,movement,686,584,1709133510779
4906875,4906875,movement,694,574,1709133510798
4906875,4906875,movement,670,574,1709133511760
4906875,4906875,movement,642,573,1709133511764
4906875,4906875,movement,614,570,1709133511776
4906875,4906875,movement,588,565,1709133511779
4906875,4906875,movement,569,561,1709133511794
4906875,4906875,movement,485,547,1709133511809
4906875,4906875,movement,430,546,1709133511827
4906875,4906875,movement,365,553,1709133511841
4906875,4906875,movement,274,573,1709133511862
4906875,4906875,movement,231,582,1709133511877
4906875,4906875,movement,201,590,1709133511891
4906875,4906875,movement,197,591,1709133511908
4906875,4906875,movement,197,591,1709133511939
4906875,4906875,movement,198,591,1709133511946
4906875,4906875,movement,198,591,1709133511957
4906875,4906875,movement,202,591,1709133511974
4906875,4906875,movement,225,587,1709133511990
4906875,4906875,movement,242,584,1709133512002
4906875,4906875,movement,270,582,1709133512011
4906875,4906875,movement,352,574,1709133512026
