Tab ID,ClientID,Type,Mouse X,Mouse Y,TimeStamp
9609325,9609325,movement,1211,109,1699628493825
9609325,9609325,movement,1159,124,1699628493833
9609325,9609325,movement,1137,130,1699628493846
9609325,9609325,movement,1110,136,1699628493864
9609325,9609325,movement,1073,145,1699628493882
9609325,9609325,movement,1051,150,1699628493902
9609325,9609325,movement,1036,154,1699628493914
9609325,9609325,movement,1020,157,1699628493929
9609325,9609325,movement,1015,158,1699628493947
9609325,9609325,movement,1006,161,1699628493963
9609325,9609325,movement,1001,161,1699628493979
Tab ID,ClientID,Type,Mouse X,Mouse Y,TimeStamp
9609325,9609325,movement,997,163,1699628493996
9609325,9609325,movement,993,164,1699628494013
9609325,9609325,movement,991,164,1699628494030
9609325,9609325,movement,990,165,1699628494046
9609325,9609325,movement,989,165,1699628494065
9609325,9609325,movement,987,166,1699628494082
9609325,9609325,movement,985,166,1699628494097
9609325,9609325,movement,984,167,1699628494114
9609325,9609325,movement,983,168,1699628494131
9609325,9609325,movement,981,169,1699628494147
9609325,9609325,movement,979,170,1699628494164
9609325,9609325,movement,978,171,1699628494181
9609325,9609325,movement,975,172,1699628494197
9609325,9609325,movement,974,173,1699628494213
9609325,9609325,movement,973,175,1699628494229
9609325,9609325,movement,971,176,1699628494247
9609325,9609325,movement,969,177,1699628494264
9609325,9609325,movement,968,178,1699628494280
9609325,9609325,movement,966,179,1699628494296
9609325,9609325,movement,965,180,1699628494313
9609325,9609325,movement,964,181,1699628494330
9609325,9609325,movement,963,182,1699628494347
9609325,9609325,movement,961,183,1699628494365
9609325,9609325,movement,959,184,1699628494381
9609325,9609325,movement,958,184,1699628494401
9609325,9609325,movement,958,185,1699628494415
9609325,9609325,movement,957,185,1699628494438
9609325,9609325,movement,956,185,1699628494458
9609325,9609325,movement,957,184,1699628494910
9609325,9609325,movement,961,183,1699628494917
9609325,9609325,movement,978,175,1699628494929
9609325,9609325,movement,1008,163,1699628494946
9609325,9609325,movement,1061,146,1699628494963
9609325,9609325,movement,1081,138,1699628494981
9609325,9609325,movement,1108,130,1699628494996
9609325,9609325,movement,1140,121,1699628495013
9609325,9609325,movement,1155,117,1699628495029
9609325,9609325,movement,1172,111,1699628495047
9609325,9609325,movement,1193,104,1699628495070
9609325,9609325,movement,1204,101,1699628495080
9609325,9609325,movement,1210,99,1699628495099
9609325,9609325,movement,1207,111,1699628495749
9609325,9609325,movement,1196,113,1699628495765
9609325,9609325,movement,1188,115,1699628495779
9609325,9609325,movement,1182,118,1699628495797
9609325,9609325,movement,1177,119,1699628495813
9609325,9609325,movement,1175,121,1699628495833
9609325,9609325,movement,1172,122,1699628495847
9609325,9609325,movement,1170,123,1699628495863
9609325,9609325,movement,1169,124,1699628495880
9609325,9609325,movement,1167,125,1699628495896
9609325,9609325,movement,1166,126,1699628495914
9609325,9609325,movement,1164,127,1699628495931
9609325,9609325,movement,1163,128,1699628495947
9609325,9609325,movement,1162,129,1699628495964
9609325,9609325,movement,1161,130,1699628495984
9609325,9609325,movement,1160,130,1699628495998
9609325,9609325,movement,1159,132,1699628496015
9609325,9609325,movement,1158,132,1699628496031
9609325,9609325,movement,1154,132,1699628572989
9609325,9609325,movement,1143,134,1699628572993
9609325,9609325,movement,1125,139,1699628573005
9609325,9609325,movement,1104,147,1699628573023
9609325,9609325,movement,1077,163,1699628573042
9609325,9609325,movement,1059,175,1699628573053
9609325,9609325,movement,1032,192,1699628573064
9609325,9609325,movement,1016,203,1699628573071
9609325,9609325,movement,993,219,1699628573087
9609325,9609325,movement,961,242,1699628573104
9609325,9609325,movement,924,269,1699628573118
9609325,9609325,movement,901,288,1699628573136
9609325,9609325,movement,869,315,1699628573155
9609325,9609325,movement,842,339,1699628573170
9609325,9609325,movement,821,367,1699628573198
9609325,9609325,movement,809,387,1699628573216
9609325,9609325,movement,785,426,1699628573245
9609325,9609325,movement,774,450,1699628573258
9609325,9609325,movement,770,459,1699628573267
9609325,9609325,movement,768,467,1699628573269
9609325,9609325,movement,763,483,1699628573291
9609325,9609325,movement,762,488,1699628573302
9609325,9609325,movement,761,492,1699628573323
9609325,9609325,movement,753,499,1699628573641
9609325,9609325,movement,739,513,1699628573650
9609325,9609325,movement,731,522,1699628573664
9609325,9609325,movement,715,538,1699628573679
9609325,9609325,movement,704,552,1699628573694
9609325,9609325,movement,688,571,1699628573707
9609325,9609325,movement,679,582,1699628573719
9609325,9609325,movement,671,598,1699628573739
9609325,9609325,movement,665,609,1699628573757
9609325,9609325,movement,659,618,1699628573774
9609325,9609325,movement,652,631,1699628573789
9609325,9609325,movement,648,639,1699628573802
9609325,9609325,movement,644,646,1699628573823
9609325,9609325,movement,641,654,1699628573839
9609325,9609325,movement,639,658,1699628573853
9609325,9609325,movement,636,665,1699628573868
9609325,9609325,movement,633,670,1699628573887
9609325,9609325,movement,631,677,1699628573901
9609325,9609325,movement,626,688,1699628573924
9609325,9609325,movement,622,696,1699628573939
9609325,9609325,movement,620,703,1699628573953
9609325,9609325,movement,616,713,1699628573971
9609325,9609325,movement,614,719,1699628573985
9609325,9609325,movement,608,710,1699628574783
9609325,9609325,movement,730,598,1699628576207
